track_id,frames,duration_sec,CSR,WCSR,Overlap,mir_eval_weighted_accuracy,pct_N_ref,pct_N_est
05_BN1-129-Eb_comp,961,22.314,0.148803,0.148803,0.148803,,0.0,0.0
05_BN1-129-Eb_solo,961,22.314,0.148803,0.148803,0.148803,,0.0,0.0
05_BN1-147-Gb_comp,843,19.574,0.083037,0.083037,0.083037,,0.0,0.0
05_BN1-147-Gb_solo,843,19.574,0.083037,0.083037,0.083037,,0.0,0.0
05_BN2-131-B_comp,1262,29.304,0.0,0.0,0.0,,0.0,0.0
05_BN2-131-B_solo,1262,29.304,0.0,0.0,0.0,,0.0,0.0
05_BN2-166-Ab_comp,996,23.127,0.0,0.0,0.0,,0.0,0.0
05_BN2-166-Ab_solo,996,23.127,0.0,0.0,0.0,,0.0,0.0
05_BN3-119-G_comp,1389,32.253,0.0,0.0,0.0,,0.0,0.0
05_BN3-119-G_solo,1389,32.253,0.0,0.0,0.0,,0.0,0.0
05_BN3-154-E_comp,1073,24.915,0.0,0.0,0.0,,0.0,0.0
05_BN3-154-E_solo,1073,24.915,0.0,0.0,0.0,,0.0,0.0
05_Funk1-114-Ab_comp,1087,25.24,0.427783,0.427783,0.427783,,0.0,0.0
05_Funk1-114-Ab_solo,1087,25.24,0.427783,0.427783,0.427783,,0.0,0.0
05_Funk1-97-C_comp,1278,29.675,0.0,0.0,0.0,,0.0,0.0
05_Funk1-97-C_solo,1278,29.675,0.0,0.0,0.0,,0.0,0.0
05_Funk2-108-Eb_comp,1530,35.527,0.0,0.0,0.0,,0.0,0.0
05_Funk2-108-Eb_solo,1530,35.527,0.0,0.0,0.0,,0.0,0.0
05_Funk2-119-G_comp,1389,32.253,0.0,0.0,0.0,,0.0,0.0
05_Funk2-119-G_solo,1389,32.253,0.0,0.0,0.0,,0.0,0.0
05_Funk3-112-C#_comp,1476,34.273,0.304201,0.304201,0.304201,,0.0,0.0
05_Funk3-112-C#_solo,1476,34.273,0.304201,0.304201,0.304201,,0.0,0.0
05_Funk3-98-A_comp,1687,39.172,0.0,0.0,0.0,,0.0,0.0
05_Funk3-98-A_solo,1687,39.172,0.0,0.0,0.0,,0.0,0.0
05_Jazz1-130-D_comp,953,22.129,0.0,0.0,0.0,,0.0,0.0
05_Jazz1-130-D_solo,953,22.129,0.0,0.0,0.0,,0.0,0.0
05_Jazz1-200-B_comp,620,14.396,0.0,0.0,0.0,,0.0,0.0
05_Jazz1-200-B_solo,620,14.396,0.0,0.0,0.0,,0.0,0.0
05_Jazz2-110-Bb_comp,1503,34.9,0.022621,0.022621,0.022621,,0.0,0.0
05_Jazz2-110-Bb_solo,1503,34.9,0.022621,0.022621,0.022621,,0.0,0.0
05_Jazz2-187-F#_comp,884,20.526,0.0,0.0,0.0,,0.0,0.0
05_Jazz2-187-F#_solo,884,20.526,0.0,0.0,0.0,,0.0,0.0
05_Jazz3-137-Eb_comp,1206,28.003,0.11194,0.11194,0.11194,,0.0,0.0
05_Jazz3-137-Eb_solo,1206,28.003,0.11194,0.11194,0.11194,,0.0,0.0
05_Jazz3-150-C_comp,1102,25.588,0.0,0.0,0.0,,0.0,0.0
05_Jazz3-150-C_solo,1102,25.588,0.0,0.0,0.0,,0.0,0.0
05_Rock1-130-A_comp,953,22.129,0.0,0.0,0.0,,0.0,0.0
05_Rock1-130-A_solo,953,22.129,0.0,0.0,0.0,,0.0,0.0
05_Rock1-90-C#_comp,1378,31.997,0.358491,0.358491,0.358491,,0.0,0.0
05_Rock1-90-C#_solo,1378,31.997,0.429608,0.429608,0.429608,,0.0,0.0
05_Rock2-142-D_comp,1164,27.028,0.0,0.0,0.0,,0.0,0.0
05_Rock2-142-D_solo,1164,27.028,0.0,0.0,0.0,,0.0,0.0
05_Rock2-85-F_comp,1945,45.163,0.086889,0.086889,0.086889,,0.0,0.0
05_Rock2-85-F_solo,1945,45.163,0.086889,0.086889,0.086889,,0.0,0.0
05_Rock3-117-Bb_comp,1413,32.81,0.0,0.0,0.0,,0.0,0.0
05_Rock3-117-Bb_solo,1413,32.81,0.0,0.0,0.0,,0.0,0.0
05_Rock3-148-C_comp,1117,25.937,0.0,0.0,0.0,,0.0,0.0
05_Rock3-148-C_solo,1117,25.937,0.0,0.0,0.0,,0.0,0.0
05_SS1-100-C#_comp,1240,28.793,0.392742,0.392742,0.392742,,0.0,0.0
05_SS1-100-C#_solo,1240,28.793,0.392742,0.392742,0.392742,,0.0,0.0
05_SS1-68-E_comp,1823,42.33,0.0,0.0,0.0,,0.0,0.0
05_SS1-68-E_solo,1823,42.33,0.0,0.0,0.0,,0.0,0.0
05_SS2-107-Ab_comp,1545,35.875,0.0,0.0,0.0,,0.0,0.0
05_SS2-107-Ab_solo,1545,35.875,0.0,0.0,0.0,,0.0,0.0
05_SS2-88-F_comp,1878,43.607,0.147497,0.147497,0.147497,,0.0,0.0
05_SS2-88-F_solo,1878,43.607,0.147497,0.147497,0.147497,,0.0,0.0
05_SS3-84-Bb_comp,1968,45.697,0.0,0.0,0.0,,0.0,0.0
05_SS3-84-Bb_solo,1968,45.697,0.0,0.0,0.0,,0.0,0.0
05_SS3-98-C_comp,1687,39.172,0.0,0.0,0.0,,0.0,0.0
05_SS3-98-C_solo,1687,39.172,0.0,0.0,0.0,,0.0,0.0
